P/ECO,PINCELETA ECONOMICA (ACCESORIOS),640.00,ACF
LIJ/NPECO,LIJA NO PAST ECO (ACCESORIOS),119.00,ACF
ESM/ECO,TELA ESMERIL ECO (ACCESORIOS),180.00,ACF
FIJ18,CINTA PAPEL FIJAPEL 18 (ACCESORIOS),416.00,ACF
FIJ24,CINTA PAPEL FIJAPEL 24 (ACCESORIOS),555.00,ACF
FIJ36,CINTA PAPEL FIJAPEL 36 (ACCESORIOS),832.00,ACF
FIJ48,CINTA PAPEL FIJAPEL 48 (ACCESORIOS),1110.00,ACF
EPM1,"ESPATULA METAL 1"" 1,5"" (ACCESORIOS)",567.00,ACF
EPM25,"ESPATULA METAL 2,5"" (ACCESORIOS)",405.00,ACF
EPM2,"ESPATULA METAL 2"" (ACCESORIOS)",381.00,ACF
EPM3,"ESPATULA METAL 3"" (ACCESORIOS)",431.00,ACF
EPM4,"ESPATULA METAL 4"" (ACCESORIOS)",466.00,ACF
EPM5,"ESPATULA METAL 5"" (ACCESORIOS)",523.00,ACF
EPM6,"ESPATULA METAL 6"" (ACCESORIOS)",542.00,ACF
EP/C,ESPATULA PLASTICO CHICA (ACCESORIOS),52.00,ACF
EP/G,ESPATULA PLASTICO GRANDE (ACCESORIOS),87.00,ACF
EP/Y,ESPATULA YESERO (ACCESORIOS),116.00,ACF
EG/M,ESPATULA GOMA MEDIANA (ACCESORIOS),197.00,ACF
EG/G,ESPATULA GOMA GRANDE (ACCESORIOS),226.00,ACF
ALB30,ENTONADOR ALBA X30 CC (ACCESORIOS),145.00,ACF
ALB120,ENTONADOR ALBA X120 CC (ACCESORIOS),479.00,ACF
BAN1,BANDEJA MINI (ACCESORIOS),81.00,ACF
BAN2,BANDEJA COLGAR C/REJILLA (ACCESORIOS),250.00,ACF
BAN3,RODILLO BANDEJA PLANA (ACCESORIOS),225.00,ACF
AUT1,AUTOPOLISH CLÁSICO (ACCESORIOS),1312.00,ACF
AUT2,AUTOPOLISH CERA (ACCESORIOS),1365.00,ACF
AUT3,AUTOPOLISH BICAPA (ACCESORIOS),1587.00,ACF
KP250,KIT PARCHE X250 (ACCESORIOS),1791.00,ACF
VD10,VENDA 0.10 X 25 (ACCESORIOS),122.00,ACF
VD20,VENDA 0.20 X 25 (ACCESORIOS),230.00,ACF
VD1,VENDA 1.00 X 25 (ACCESORIOS),1030.00,ACF
COB3,COBERTOR 3X3 (ACCESORIOS),575.00,ACF
EST,ESTOPA X300 (ACCESORIOS),269.00,ACF
LLAN12,LLANA12X30 (ACCESORIOS),660.00,ACF
PPUL,PASTA DE PULIR (ACCESORIOS),788.00,ACF
LAM10,LAMINA 8X10 (ACCESORIOS),198.00,ACF
LAM12,LAMINA 8X12 (ACCESORIOS),240.00,ACF
GENG,GUANTE ENGOMADO (ACCESORIOS),450.00,ACF
KP500,KIT PARCHE X500 (ACCESORIOS),2494.00,ACF
CET/B1,CETOL BRILL X 1 (CETOL),3301.00,ACF
CET/B4,CETOL BRILL X 4 (CETOL),12628.00,ACF
CET/S1,CETOL SATINADO X 1 (CETOL),2515.00,ACF
CET/S4,CETOL SATINADO X 4 (CETOL),9618.00,ACF
TIN60,TINTA CETOL X60 (CETOL),460.00,ACF
TIN240,TINTA CETOL X240 (CETOL),1338.00,ACF
LIJ/A,LIJA AGUA DOBLE A (DOBLE A),184.00,ACF
LIJ/R,LIJA RUBI DOBLE A (DOBLE A),119.00,ACF
LIJ/NP,LIJA NO PAST DOBLE A (DOBLE A),170.00,ACF
CIN12,CINTA DE PAPEL AA 12 (DOBLE A),382.00,ACF
CIN18,CINTA DE PAPEL AA 18 (DOBLE A),477.00,ACF
CIN24,CINTA DE PAPEL AA 24 (DOBLE A),637.00,ACF
CIN36,CINTA DE PAPEL AA 36 (DOBLE A),963.00,ACF
CIN48,CINTA DE PAPEL AA 48 (DOBLE A),1280.00,ACF
AZ18,CINTA AZUL 18 (DOBLE A),652.00,ACF
AZ24,CINTA AZUL 24 (DOBLE A),866.00,ACF
AZ36,CINTA AZUL 36 (DOBLE A),1297.00,ACF
AZ48,CINTA AZUL 48 (DOBLE A),1735.00,ACF
AIS10,CINTA AISLADORA X10 MTS (DOBLE A),243.00,ACF
AIS20,CINTA AISLADORA X20 MTS (DOBLE A),409.00,ACF
CINT,CINTA TRAMADA P/ DURLOCK (DOBLE A),1182.00,ACF
DUCT,CINTA DUCT TAPE AA (DOBLE A),1311.00,ACF
FLAP,DISCO FLAP AA (DOBLE A),470.00,ACF
TR/AA,CINTA TRANSPARENTE AA X40 MTS (DOBLE A),432.00,ACF
MEMD1,PINTURA MEMBRANA DURACRIL X1 (DURACRIL),730.50,ACF
DUR250B,PINTURA DURACRIL BCO/NEGRO BRILLANTE X250 (DURACRIL),601.13,ACF
DUR250S,PINTURA DURACRIL BCO/NEGRO SATINADO X250 (DURACRIL),601.13,ACF
DUR250M,PINTURA DURACRIL BCO/NEGRO MATE X250 (DURACRIL),601.13,ACF
DUR500B,PINTURA DURACRIL BCO/NEGRO BRILLANTE X500 (DURACRIL),993.17,ACF
DUR500S,PINTURA DURACRIL BCO/NEGRO SATINADO X500 (DURACRIL),993.17,ACF
DUR500M,PINTURA DURACRIL BCO/NEGRO MATE X500 (DURACRIL),993.17,ACF
DUR1B,PINTURA DURACRIL BCO/NEGRO BRILLANTE X1 (DURACRIL),1446.63,ACF
DUR1S,PINTURA DURACRIL BCO/NEGRO SATINADO X1 (DURACRIL),1446.63,ACF
DUR1M,PINTURA DURACRIL BCO/NEGRO MATE X1 (DURACRIL),1446.63,ACF
LE10,RODILLO LANA ECO 10 CM (EL RODILLO),776.82,ACF
LE17,RODILLO LANA ECO 17 CM (EL RODILLO),975.84,ACF
LE22,RODILLO LANA ECO 22 CM (EL RODILLO),1099.96,ACF
LN22,RODILLO LANA NATURAL SUPER 22 CM (EL RODILLO),1302.19,ACF
SL17,RODILLO RODILLO SIMIL LANA 17 CM (EL RODILLO),606.00,ACF
SL22,RODILLO RODILLO SIMIL LANA 22 CM (EL RODILLO),682.00,ACF
ESP17,RODILLO ESPUMA 17 CM (EL RODILLO),518.95,ACF
ESP22,RODILLO ESPUMA 22 CM (EL RODILLO),576.00,ACF
FOR5,RODILLO FORRADOS 5 CM (EL RODILLO),130.54,ACF
FOR8,RODILLO FORRADOS 8 CM (EL RODILLO),148.73,ACF
FOR11,RODILLO FORRADOS 11 CM (EL RODILLO),160.50,ACF
FOR17,RODILLO FORRADOS 17CM (EL RODILLO),569.24,ACF
FOR22,RODILLO FORRADOS 22CM (EL RODILLO),625.95,ACF
EP17,RODILLO EPOXI 17 CM (EL RODILLO),483.64,ACF
EP22,RODILLO EPOXI 22 CM (EL RODILLO),631.30,ACF
AT5,RODILLO ANTIGOTA 5 (EL RODILLO),155.15,ACF
AT8,RODILLO ANTIGOTA8 (EL RODILLO),178.69,ACF
AT11,RODILLO ANTIGOTA 11 (EL RODILLO),205.44,ACF
AT10,RODILLO ANTIGOTA 10 CM (EL RODILLO),480.43,ACF
AT17,RODILLO ANTIGOTA 17 CM (EL RODILLO),605.62,ACF
AT22,RODILLO ANTIGOTA 22 CM (EL RODILLO),693.36,ACF
TAC280,SILICONA ACETICA TRANSP. LUSQTOFF X280 (FERRETERIA),1339.00,ACF
CH13,"CAJA HERR. C/BANDEJA Y GAVETERO 13"" (FERRETERIA)",2032.00,ACF
CH16,"CAJA HERR. C/BANDEJA Y GAVETERO 16"" (FERRETERIA)",3178.00,ACF
CH19,"CAJA HERR. C/BANDEJA Y GAVETERO 19"" (FERRETERIA)",3490.00,ACF
MP500,MASILLA PLASTICA X ½ (FERRETERIA),1232.00,ACF
MP1000,MASILLA PLASTICA X1 (FERRETERIA),1579.00,ACF
CM3,CINTA METRICA X3 MTS (FERRETERIA),645.00,ACF
CM5,CINTA METRICA X5 MTS (FERRETERIA),818.00,ACF
CM75,CINTA METRICA X7.5MTS (FERRETERIA),1633.00,ACF
COL125,COLA VINILICA X125CC (FERRETERIA),310.00,ACF
COL250,COLA VINILICA X250CC (FERRETERIA),481.00,ACF
COL500,COLA VINILICA X500CC (FERRETERIA),835.00,ACF
GAS,GAS BUTANO (FERRETERIA),766.00,ACF
ZAP1,ZAPATILLA 1.5 MTS (FERRETERIA),626.00,ACF
ZAP3,ZAPATILLA 3 MTS (FERRETERIA),728.00,ACF
ZAP5,ZAPATILLA 5 MTS (FERRETERIA),855.00,ACF
SILL1,SILLON FIJO (FERRETERIA),9570.00,ACF
SILL5,SILLO 5 POS (FERRETERIA),11260.00,ACF
REF10,REFLECTOR LED 10W (FERRETERIA),1550.00,ACF
REF20,REFLECTOR LED 20W (FERRETERIA),2150.00,ACF
REF30,REFLECTOR LED 30W (FERRETERIA),2395.00,ACF
REF50,REFLECTOR LED 50W (FERRETERIA),3665.00,ACF
REF100,REFLECTOR LED 100W (FERRETERIA),6597.00,ACF
REF200,REFLECTOR LED 200W (FERRETERIA),14787.00,ACF
BAL,BALDE ALBAÑIL REFORZADO (FERRETERIA),352.00,ACF
EM/30,LUZ EMERGENCIA 30 LED (FERRETERIA),3971.00,ACF
EM/60,LUZ EMERGENCIA 60 LED (FERRETERIA),6205.00,ACF
TIMBRE,TIMBRE INALAMBRICO (FERRETERIA),1967.00,ACF
FE20,RODILLO FRATACHO ESPUMA 20 (FERRETERIA),150.00,ACF
FE25,RODILLO FRATACHO ESPUMA 25 (FERRETERIA),168.00,ACF
FE30,RODILLO FRATACHO ESPUMA 30 (FERRETERIA),181.00,ACF
PVC/R,CAJA RECTANGULAR PVC (FERRETERIA),56.00,ACF
PVC/O,CAJA OCTOGONAL PVC (FERRETERIA),56.00,ACF
TAR6,TARUGO CON TOPE NRO 6 X2000 (FERRETERIA),2415.00,ACF
TAR8,TARUGO CON TOPE NRO 8 X1000 (FERRETERIA),2415.00,ACF
TAR10,TARUGO CON TOPE NRO 10 X500 (FERRETERIA),2415.00,ACF
