CAB,ABROCHADORA - ENGRAMPADORA 2 EN 1,12496.88,INTEGRAL
LLC 14,AJUSTABLE - TIPO STILSON,15576.59,INTEGRAL
LLC 12,AJUSTABLE - TIPO STILSON 12,0.00,INTEGRAL
PZA S6 EAL 4.5F,ALICATE  CORTE FRONTAL SERIE 600 4 1/2,4246.71,INTEGRAL
PZA EAL 4.5F,"ALICATE - ELECTRICISTA - CORTE FRONTAL - 4,5",4091.05,INTEGRAL
PZA EAL 4.5,"ALICATE - ELECTRICISTA - STANDARD - CORTE OBLICUO - 4,5",4091.05,INTEGRAL
PZA AL7 E,ALICATE - EXTRA - CABEZA ANCHA 7,0.00,INTEGRAL
PZA S6 AL6,ALICATE 6 SERIE 600,6371.33,INTEGRAL
PZA S6 AL7 E,ALICATE EXTRA 7 SERIE 600,8437.40,INTEGRAL
PZA S6 AL7,ALICATE EXTRA 7 SERIE 600,8084.62,INTEGRAL
PZAP8AL7ECO,ALICATE EXTRA PROFESIONAL AISLADO - SERIE 800 7,0.00,INTEGRAL
PZA P AL6,ALICATE PROFESIONAL - SERIE 700,6985.31,INTEGRAL
PZA P AL7,ALICATE PROFESIONAL - SERIE 700,9296.26,INTEGRAL
PZA P8 AL6,ALICATE PROFESIONAL AISLADO - SERIE 800,7959.87,INTEGRAL
PZA P8 AL7,ALICATE PROFESIONAL AISLADO - SERIE 800,10398.65,INTEGRAL
PZA E AL6,ALICATE SERIE 200 ECONOMY 6,3855.28,INTEGRAL
PZA E AL7,ALICATE SERIE 200 ECONOMY 7,5308.54,INTEGRAL
PZA AL6,ALICATE SERIE 500 6,0.00,INTEGRAL
PZA AL7,ALICATE SERIE 500 7,0.00,INTEGRAL
PZA S6 EAL 4.5,ALLICATE SERIE 600 4 1/2,3915.32,INTEGRAL
SIE S2 M6,ARCO DE SIERRA MINI SERIE 200,5173.05,INTEGRAL
SIE 12 P50,ARCO DE SIERRA PROFESIONAL P-50,0.00,INTEGRAL
SIE S6 12,ARCO DE SIERRA PROFESIONAL SERIE 600,10813.50,INTEGRAL
SIE S8 12,ARCO DE SIERRA PROFESIONAL SERIE 800,13464.80,INTEGRAL
SIE S2 12,ARCO DE SIERRA SERIE 200,6758.68,INTEGRAL
SIE 12 P10,ARCO DE SIERRAL PROFESIONAL P-100,0.00,INTEGRAL
JD S6 AZ ES M,AZADA Y ESCARDILLO DE JARDIN SERIE 600,5917.65,INTEGRAL
JD S8 AZ ES T A,AZADA Y ESCARDILLO TELESCOPICO SERIE 800,16813.62,INTEGRAL
JD S8 BH T A,BARRE HOJAS TELESCOPICO SERIE 800,13710.10,INTEGRAL
CAB R 1000 N,BROCHES - GRAMPAS S6,3437.67,INTEGRAL
CAB R 1000/8 N,BROCHES - GRAMPAS S8,4482.59,INTEGRAL
CDB BS 20,BRONCE STANDARD - 3 LLAVES,2082.08,INTEGRAL
CDB BS 30,BRONCE STANDARD - 3 LLAVES,2995.93,INTEGRAL
CDB BS 40,BRONCE STANDARD - 3 LLAVES,3744.50,INTEGRAL
MT HT 4.5,"CABEZAL DE HACHA 4,5 LBS",18600.92,INTEGRAL
CAD 1/4 5,CADENA DE ACERO CEMENTADO,6019.51,INTEGRAL
CAD 1/4 1,CADENA DE ACERO CEMENTADO,9758.48,INTEGRAL
CAD 3/8 5,CADENA DE ACERO CEMENTADO,7759.40,INTEGRAL
CAD 3/8 1,CADENA DE ACERO CEMENTADO,21631.98,INTEGRAL
CAD 3/8 1.5,CADENA DE ACERO CEMENTADO 1.5 METROS,21631.98,INTEGRAL
CDB CAD 10 1 C,CADENA MAXIMA SEGURIDAD CON CANDADO,33569.85,INTEGRAL
CDB CAD 10 1,CADENA MAXIMA SEGURIDAD CON CANDADO,20962.42,INTEGRAL
CDB C4 PP,CANDADO DE ALEACION 4 COMB. 70 MM PERSIANAS,12578.68,INTEGRAL
CDB C5 65 CA,CANDADO DE ALEACION 5 COMBINACIONES 65 MM AZUL,7406.50,INTEGRAL
CDB C5 65 CR,CANDADO DE ALEACION 5 COMBINACIONES 65 MM ROJO,7406.50,INTEGRAL
CDB C3 20 AR,CANDADO DE ALEACION ALUMINIO 3 COMB. 20 MM ROJO,5208.20,INTEGRAL
CDB C3 20 AV,CANDADO DE ALEACION ALUMINIO 3 COMB. 20 MM VERDE,5208.20,INTEGRAL
CDB C3 30 AR,CANDADO DE ALEACION ALUMINIO 3 COMB. 30 MM ROJO,6029.37,INTEGRAL
CDB C3 30 AV,CANDADO DE ALEACION ALUMINIO 3 COMB. 30 MM VERDE,6029.37,INTEGRAL
CDB C4 40 AR,CANDADO DE ALEACION ALUMINIO 3 COMB. 40 MM ROJO,7399.23,INTEGRAL
CDB C4 40 AV,CANDADO DE ALEACION ALUMINIO 3 COMB. 40 MM VERDE,7399.23,INTEGRAL
CDB C4 56 RD,CANDADO DE ALEACION REFORZADO 4 COMB.,12190.75,INTEGRAL
CDB C3 35 TSA A,CANDADO DE COMBINACION TSA CON ARO,11443.37,INTEGRAL
CDB C3 35 TSA C,CANDADO DE COMBINACION TSA CON CABLE,11443.37,INTEGRAL
CDB H 50,CANDADO DE HIERRO ARO CEMENTADO 50MM,6320.23,INTEGRAL
CDB H 60,CANDADO DE HIERRO ARO CEMENTADO 60MM.,8497.58,INTEGRAL
CDB H 30 D,CANDADO DE HIERRO DORADO N° 30,3199.20,INTEGRAL
CDB H 30 D L,CANDADO DE HIERRO DORADO N° 30 ARO LARGO,3527.27,INTEGRAL
CDB H 40 D,CANDADO DE HIERRO DORADO N° 40,4003.20,INTEGRAL
CDB H 40 D L,CANDADO DE HIERRO DORADO N° 40 ARO LARGO,4413.60,INTEGRAL
CDB H 50 D,CANDADO DE HIERRO DORADO N° 50,6320.23,INTEGRAL
CDB H 50 D L,CANDADO DE HIERRO DORADO N° 50 ARO LARGO,6968.58,INTEGRAL
CDB H 60 D,CANDADO DE HIERRO DORADO N° 60,8497.58,INTEGRAL
CDB H 60 D L,CANDADO DE HIERRO DORADO N° 60 ARO LARGO,9369.07,INTEGRAL
CDB MS 72 B,CANDADO MAXIMA SEGURIDAD 72 MM,15847.05,INTEGRAL
CDB AR 30,CANDADO REF. ACERO NIQUELADO 30 MM,4769.00,INTEGRAL
CDB AR 30 L,CANDADO REF. ACERO NIQUELADO 30 MM ARO LARGO,5703.89,INTEGRAL
CDB AR 40,CANDADO REF. ACERO NIQUELADO 40 MM,5991.92,INTEGRAL
CDB AR 40 L,CANDADO REF. ACERO NIQUELADO 40 MM ARO LARGO,6801.43,INTEGRAL
CDB AR 50,CANDADO REF. ACERO NIQUELADO 50 MM,8578.39,INTEGRAL
CDB AR 50 L,CANDADO REF. ACERO NIQUELADO 50 MM ARO LARGO,9102.89,INTEGRAL
CDB AR 60,CANDADO REF. ACERO NIQUELADO 60 MM,10690.03,INTEGRAL
CDB AR 40X2,CANDADO REFORZADO ACERO NIQUELADO 40 MM. X 2 UNIDADES,11753.49,INTEGRAL
