CAB,ABROCHADORA - ENGRAMPADORA 2 EN 1,8204.86,INTEGRAL
LLC 14,AJUSTABLE - TIPO STILSON,10226.82,INTEGRAL
LLC 12,AJUSTABLE - TIPO STILSON 12,0.00,INTEGRAL
PZA S6 EAL 4.5F,ALICATE  CORTE FRONTAL SERIE 600 4 1/2,2788.19,INTEGRAL
PZA EAL 4.5F,"ALICATE - ELECTRICISTA - CORTE FRONTAL - 4,5",2686.01,INTEGRAL
PZA EAL 4.5,"ALICATE - ELECTRICISTA - STANDARD - CORTE OBLICUO - 4,5",2686.01,INTEGRAL
PZA AL7 E,ALICATE - EXTRA - CABEZA ANCHA 7,0.00,INTEGRAL
PZA S6 AL6,ALICATE 6 SERIE 600,4183.10,INTEGRAL
PZA S6 AL7 E,ALICATE EXTRA 7 SERIE 600,5539.63,INTEGRAL
PZA S6 AL7,ALICATE EXTRA 7 SERIE 600,5307.99,INTEGRAL
PZAP8AL7ECO,ALICATE EXTRA PROFESIONAL AISLADO - SERIE 800 7,0.00,INTEGRAL
PZA P AL6,ALICATE PROFESIONAL - SERIE 700,4586.21,INTEGRAL
PZA P AL7,ALICATE PROFESIONAL - SERIE 700,6103.48,INTEGRAL
PZA P8 AL6,ALICATE PROFESIONAL AISLADO - SERIE 800,5226.06,INTEGRAL
PZA P8 AL7,ALICATE PROFESIONAL AISLADO - SERIE 800,6827.24,INTEGRAL
PZA E AL6,ALICATE SERIE 200 ECONOMY 6,2531.19,INTEGRAL
PZA E AL7,ALICATE SERIE 200 ECONOMY 7,3485.31,INTEGRAL
PZA AL6,ALICATE SERIE 500 6,0.00,INTEGRAL
PZA AL7,ALICATE SERIE 500 7,0.00,INTEGRAL
PZA S6 EAL 4.5,ALLICATE SERIE 600 4 1/2,2570.61,INTEGRAL
SIE S2 M6,ARCO DE SIERRA MINI SERIE 200,3396.39,INTEGRAL
SIE 12 P50,ARCO DE SIERRA PROFESIONAL P-50,0.00,INTEGRAL
SIE S6 12,ARCO DE SIERRA PROFESIONAL SERIE 600,7099.62,INTEGRAL
SIE S8 12,ARCO DE SIERRA PROFESIONAL SERIE 800,8840.34,INTEGRAL
SIE S2 12,ARCO DE SIERRA SERIE 200,4437.43,INTEGRAL
SIE 12 P10,ARCO DE SIERRAL PROFESIONAL P-100,0.00,INTEGRAL
JD S6 AZ ES M,AZADA Y ESCARDILLO DE JARDIN SERIE 600,3885.24,INTEGRAL
JD S8 AZ ES T A,AZADA Y ESCARDILLO TELESCOPICO SERIE 800,11038.99,INTEGRAL
JD S8 BH T A,BARRE HOJAS TELESCOPICO SERIE 800,10589.87,INTEGRAL
CAB R 1000 N,BROCHES - GRAMPAS S6,2257.01,INTEGRAL
CAB R 1000/8 N,BROCHES - GRAMPAS S8,2943.07,INTEGRAL
CDB BS 20,BRONCE STANDARD - 3 LLAVES,1366.98,INTEGRAL
CDB BS 30,BRONCE STANDARD - 3 LLAVES,1966.98,INTEGRAL
CDB BS 40,BRONCE STANDARD - 3 LLAVES,2458.48,INTEGRAL
MT HT 4.5,"CABEZAL DE HACHA 4,5 LBS",12212.49,INTEGRAL
CAD 1/4 5,CADENA DE ACERO CEMENTADO,3952.13,INTEGRAL
CAD 1/4 1,CADENA DE ACERO CEMENTADO,6406.94,INTEGRAL
CAD 3/8 5,CADENA DE ACERO CEMENTADO,5993.45,INTEGRAL
CAD 3/8 1,CADENA DE ACERO CEMENTADO,11885.52,INTEGRAL
CAD 3/8 1.5,CADENA DE ACERO CEMENTADO 1.5 METROS,17753.16,INTEGRAL
CDB CAD 10 1 C,CADENA MAXIMA SEGURIDAD CON CANDADO,22040.35,INTEGRAL
CDB CAD 10 1,CADENA MAXIMA SEGURIDAD CON CANDADO,16191.66,INTEGRAL
CDB C4 PP,CANDADO DE ALEACION 4 COMB. 70 MM PERSIANAS,8258.55,INTEGRAL
CDB C5 65 CA,CANDADO DE ALEACION 5 COMBINACIONES 65 MM AZUL,4862.77,INTEGRAL
CDB C5 65 CR,CANDADO DE ALEACION 5 COMBINACIONES 65 MM ROJO,4862.77,INTEGRAL
CDB C3 20 AR,CANDADO DE ALEACION ALUMINIO 3 COMB. 20 MM ROJO,3419.45,INTEGRAL
CDB C3 20 AV,CANDADO DE ALEACION ALUMINIO 3 COMB. 20 MM VERDE,3419.45,INTEGRAL
CDB C3 30 AR,CANDADO DE ALEACION ALUMINIO 3 COMB. 30 MM ROJO,3958.59,INTEGRAL
CDB C3 30 AV,CANDADO DE ALEACION ALUMINIO 3 COMB. 30 MM VERDE,3958.59,INTEGRAL
CDB C4 40 AR,CANDADO DE ALEACION ALUMINIO 3 COMB. 40 MM ROJO,4857.98,INTEGRAL
CDB C4 40 AV,CANDADO DE ALEACION ALUMINIO 3 COMB. 40 MM VERDE,4857.98,INTEGRAL
CDB C4 56 RD,CANDADO DE ALEACION REFORZADO 4 COMB.,8003.86,INTEGRAL
CDB C3 35 TSA A,CANDADO DE COMBINACION TSA CON ARO,7513.17,INTEGRAL
CDB C3 35 TSA C,CANDADO DE COMBINACION TSA CON CABLE,7513.17,INTEGRAL
CDB H 50,CANDADO DE HIERRO ARO CEMENTADO 50MM,4149.51,INTEGRAL
CDB H 60,CANDADO DE HIERRO ARO CEMENTADO 60MM.,5579.09,INTEGRAL
CDB H 30 D,CANDADO DE HIERRO DORADO N° 30,2100.44,INTEGRAL
CDB H 30 D L,CANDADO DE HIERRO DORADO N° 30 ARO LARGO,2315.81,INTEGRAL
CDB H 40 D,CANDADO DE HIERRO DORADO N° 40,2628.31,INTEGRAL
CDB H 40 D L,CANDADO DE HIERRO DORADO N° 40 ARO LARGO,2897.73,INTEGRAL
CDB H 50 D,CANDADO DE HIERRO DORADO N° 50,4149.51,INTEGRAL
CDB H 50 D L,CANDADO DE HIERRO DORADO N° 50 ARO LARGO,4575.22,INTEGRAL
CDB H 60 D,CANDADO DE HIERRO DORADO N° 60,5579.09,INTEGRAL
CDB H 60 D L,CANDADO DE HIERRO DORADO N° 60 ARO LARGO,6151.28,INTEGRAL
CDB MS 72 B,CANDADO MAXIMA SEGURIDAD 72 MM,10404.40,INTEGRAL
CDB AR 30,CANDADO REF. ACERO NIQUELADO 30 MM,3131.13,INTEGRAL
CDB AR 30 L,CANDADO REF. ACERO NIQUELADO 30 MM ARO LARGO,3744.88,INTEGRAL
CDB AR 40,CANDADO REF. ACERO NIQUELADO 40 MM,3934.05,INTEGRAL
CDB AR 40 L,CANDADO REF. ACERO NIQUELADO 40 MM ARO LARGO,4465.48,INTEGRAL
CDB AR 50,CANDADO REF. ACERO NIQUELADO 50 MM,5632.16,INTEGRAL
CDB AR 50 L,CANDADO REF. ACERO NIQUELADO 50 MM ARO LARGO,5976.55,INTEGRAL
CDB AR 60,CANDADO REF. ACERO NIQUELADO 60 MM,7018.55,INTEGRAL
CDB AR 40X2,CANDADO REFORZADO ACERO NIQUELADO 40 MM. X 2 UNIDADES,7716.79,INTEGRAL
CDB AS 30,CANDADO REFORZADO ALTA SEGURIDAD ACERO NIQUELADO 30 MM,3575.04,INTEGRAL
CDB AS 40,CANDADO REFORZADO ALTA SEGURIDAD ACERO NIQUELADO 40 MM,4493.04,INTEGRAL
CDB AS 50,CANDADO REFORZADO ALTA SEGURIDAD ACERO NIQUELADO 50 MM,6436.11,INTEGRAL
CDB WR 40 L,CANDADO REFORZADO WATER RESISTANT 40 MM ARO LARGO,5358.50,INTEGRAL
CDB WR 40,CANDADO REFORZADO WATER RESISTANT 40MM,4484.84,INTEGRAL
CDB WR 50,CANDADO REFORZADO WATER RESISTANT 50 MM,6420.60,INTEGRAL
CDB WR 50 L,CANDADO REFORZADO WATER RESISTANT 50MM ARO LARGO,7171.86,INTEGRAL
CDB T DISCO,CANDADO TRABA DISCO,9121.57,INTEGRAL
"DSA PCD 180 3,2","CENTRO DEPRIMIDO 180X3,2X22,2",727.03,INTEGRAL
DSA PDD 180 7,"CENTRO DEPRIMIDO 180X7X22,2",1602.00,INTEGRAL
"DSA PCD 230 3,2","CENTRO DEPRIMIDO 230X3,2X22,2",1536.33,INTEGRAL
DSA PDD 230 7,"CENTRO DEPRIMIDO 230X7X22,2",2440.43,INTEGRAL
CJB B 60,CERROJO SERIE 500,11089.44,INTEGRAL
CJB B120 D,CERROJO SERIE 600 DERECHO,13758.32,INTEGRAL
CJB B120 I,CERROJO SERIE 600 IZQUIERDO,13758.32,INTEGRAL
DRX EC 10,CINTA DUREX  ECONOMY,0.00,INTEGRAL
CTA MCA5B 3,CINTA METRICA SERIE 500 CON FRENO 3M.X16MM,4120.76,INTEGRAL
CTA MCA5B 5,CINTA METRICA SERIE 500 CON FRENO 5M.X19MM,5978.20,INTEGRAL
"CTA MCA5B 7,5",CINTA METRICA SERIE 500 DOBLE FRENO 7.5M.X25MM,11453.77,INTEGRAL
CAB CP 15,CLAVOS P/ MODELO PROFESIONAL - POTENCIA REGULABLE,2994.67,INTEGRAL
C CTR C H CRP,CUTTER CHICO -  C/ 5 REPUESTOS,687.04,INTEGRAL
C CTR SBD C,CUTTER CORTA PICOS CARTUCHOS  SUPRABOND,1493.32,INTEGRAL
C CTR 6 PRE,CUTTER DE PRECISION SERIE 600,1899.57,INTEGRAL
C CTR G H,CUTTER GRANDE - HOBBY,636.54,INTEGRAL
C CTR 6 N,CUTTER NAVAJA SERIE 600,4744.78,INTEGRAL
C CTR 8A P,CUTTER PROFESIONAL AUTOMATICO SERIE 800,5571.36,INTEGRAL
C CTR 8A G,CUTTER PROFESIONAL AUTOMATICO SERIE 800,4771.36,INTEGRAL
C CTR P4,CUTTER PROFESIONAL METALICO - 4 POSICIONES,3852.64,INTEGRAL
C CTR 5A G,CUTTER REFORFADO AUTOMATICO GRANDE SERIE 500,2761.29,INTEGRAL
C CTR 5 G,CUTTER REFORZADO A ROSCA CON REPUESTO SERIE 500,1967.51,INTEGRAL
C CTR 5A C,CUTTER REFORZADO AUTOMATICO CHICO SERIE 500,2264.02,INTEGRAL
C CTR 3 C R,CUTTER REFORZADO CHICO SERIE 300,985.09,INTEGRAL
C CTR 3 G R,CUTTER REFORZADO GRANDE SERIE 300,1364.94,INTEGRAL
DSD S400 115 C,DISC. DIAM. S 400 CONTINUO 115 MM,2659.29,INTEGRAL
DSD S400 180 C,DISC. DIAM. S 400 CONTINUO 180 MM,6567.63,INTEGRAL
DSD S400 115 S,DISC. DIAM. S 400 SEGMENTADO 115 MM,3407.16,INTEGRAL
DSD S400 180 S,DISC. DIAM. S 400 SEGMENTADO 180 MM,7432.14,INTEGRAL
DSD S400 230 S,DISC. DIAM. S 400 SEGMENTADO 230 MM,10419.51,INTEGRAL
DSD S400 115 T,DISC. DIAM. S 400 TURBO 115 MM,4027.16,INTEGRAL
DSD S400 180 T,DISC. DIAM. S 400 TURBO 180 MM,8691.00,INTEGRAL
DSD S400 115 TF,DISC. DIAM. S 400 TURBO FINO 115 MM,8488.55,INTEGRAL
DSD S600 115 C,DISC. DIAM. S 600 CONTINUO 115 MM,3323.36,INTEGRAL
DSD S600 180 C,DISC. DIAM. S 600 CONTINUO 180 MM,7750.57,INTEGRAL
DSD S600 115 S,DISC. DIAM. S 600 SEGMENTADO 115 MM,4266.04,INTEGRAL
DSD S600 180 S,DISC. DIAM. S 600 SEGMENTADO 180 MM,9097.49,INTEGRAL
DSD S600 230 S,DISC. DIAM. S 600 SEGMENTADO 230 MM,12020.10,INTEGRAL
DSD S600 115 T,DISC. DIAM. S 600 TURBO 115 MM,4878.59,INTEGRAL
DSD S600 180 T,DISC. DIAM. S 600 TURBO 180 MM,10673.78,INTEGRAL
DSD S600 115 TF,DISC. DIAM. S 600 TURBO FINO 115 MM,10252.44,INTEGRAL
DSD S80 115 C,DISC. DIAM. S 80 CONTINUO 115 MM,2211.99,INTEGRAL
DSD S80 180 C,DISC. DIAM. S 80 CONTINUO 180 MM,5422.89,INTEGRAL
DSD S80 230 S,DISC. DIAM. S 80 SEGMENTADO 230 MM,8606.48,INTEGRAL
DSD S80 115 S,DISC. DIAM. S 80 SEGMENTADO115 MM,2806.17,INTEGRAL
DSD S80 180 S,DISC. DIAM. S 80 SEGMENTADO180 MM,6151.49,INTEGRAL
DSD S80 180 T,DISC. DIAM. S 80 TURBO 180 MM,7176.58,INTEGRAL
DSD S80 115 T,DISC. DIAM. S 80 TURBO115 MM,2886.98,INTEGRAL
DSD 100C 180 N,DISC. DIAM.S 100 CONTINUO 180 MM,4975.53,INTEGRAL
DSD 100S 115 N,DISC. DIAM.S 100 SEGMENTADO 115 MM,1802.38,INTEGRAL
DSD 100S 230 N,DISC. DIAM.S 100 SEGMENTADO 230 MM,5527.52,INTEGRAL
DSD 100T 115 N,DISC. DIAM.S 100 TURBO 115 MM,2648.76,INTEGRAL
DSD 100T 180 N,DISC. DIAM.S 100 TURBO 180 MM,6584.81,INTEGRAL
DSD 5 C 115,DISC. DIAM.S 500 USO INTENSIVO - CONTINUO 115 MM,1522.53,INTEGRAL
DSD 5 S 115,DISC. DIAM.S 500 USO INTENSIVO - SEGMENTADO 115 MM,1930.90,INTEGRAL
DSD 5 T 115,DISC. DIAM.S 500 USO INTENSIVO - TURBO 115 MM,2648.76,INTEGRAL
DSD 5 T 180,DISC. DIAM.S 500 USO INTENSIVO - TURBO 180 MM,6584.81,INTEGRAL
DSD 7 C 230,DISC. DIAM.S 700 USO PROFESIONAL - CONTINUO 230 MM,6317.32,INTEGRAL
DSD 7 S 180,DISC. DIAM.S 700 USO PROFESIONAL - SEGMENTADO 180 MM,5644.22,INTEGRAL
DSD 7 S 230,DISC. DIAM.S 700 USO PROFESIONAL - SEGMENTADO 230 MM,6317.32,INTEGRAL
DSD 7 T 115,DISC. DIAM.S 700 USO PROFESIONAL - TURBO 115 MM,2648.76,INTEGRAL
DSD 7 T 180,DISC. DIAM.S 700 USO PROFESIONAL - TURBO 180 MM,6584.81,INTEGRAL
"DSA 4CP 115 1,6","DISCO ABRASIVO DE CORTE SERIE 400 115X1,6X22.2",425.54,INTEGRAL
DSA 4CP 115 1,DISCO ABRASIVO DE CORTE SERIE 400 115X1X22.2,425.54,INTEGRAL
"DSA 4CP 180 1,6","DISCO ABRASIVO DE CORTE SERIE 400 180X1,6X22.2",902.29,INTEGRAL
DES 8RA 5X150,DS800 CROM.VAN.RECTO AISLADO 5X150M,1194.35,INTEGRAL
CAB PRO,ENGRAMPADORA PROFESIONAL - ACERO CROMADO,22077.94,INTEGRAL
CAB PRO PR,ENGRAMPADORA PROFESIONAL POTENCIA REGULABLE CLAVOS/GRAMPAS,22324.39,INTEGRAL
CAB INT R,ENGRAMPADORA USO INT. REFORZADA,9830.51,INTEGRAL
CAB INT,ENGRAMPADORA USO INTENSIVO,9830.51,INTEGRAL
CAB PRO 2P,ENGRANPADORA MULTIFUNCION S. 500,16651.45,INTEGRAL
JD S6 ES M,ESCARDILLO DE JARDIN SERIE 600,3585.45,INTEGRAL
MED ESC AL 25,ESCUADRA DE ACERO INOXIDABLE CON MANGO DE ALUMINIO DE 25 CM,4820.34,INTEGRAL
MED ESC AL 30,ESCUADRA DE ACERO INOXIDABLE CON MANGO DE ALUMINIO DE 30 CM,5631.27,INTEGRAL
MED ESC PL 25,ESCUADRA DE ACERO INOXIDABLE CON MANGO PLASTICO DE 25 CM,2126.43,INTEGRAL
MED ESC PL 30,ESCUADRA DE ACERO INOXIDABLE CON MANGO PLASTICO DE 30 CM,2251.82,INTEGRAL
MED ESC AI 30,ESCUADRA DE ACERO INOXIDABLE DE 30 CM,5034.35,INTEGRAL
ESP 90 EX AI,ESPATULA ESQUINERO DE ACERO INOXIDABLE 90° EXTERIOR,5891.27,INTEGRAL
ESP 90 IN AI,ESPATULA ESQUINERO DE ACERO INOXIDABLE 90° INTERIOR,5313.36,INTEGRAL
ESP FX 4,ESPATULA FLEXIBLE 4- PULIDO ESPEJO,1592.14,INTEGRAL
ESP FX 6,ESPATULA FLEXIBLE 6- PULIDO ESPEJO,1892.73,INTEGRAL
ESP FX AI 1,ESPATULA FLEXIBLE DE ACERO INOXIDABLE DE 1 SERIE 700,1937.48,INTEGRAL
ESP FX AI 2,ESPATULA FLEXIBLE DE ACERO INOXIDABLE DE 2 SERIE 700,2016.80,INTEGRAL
ESP FX AI 3,ESPATULA FLEXIBLE DE ACERO INOXIDABLE DE 3 SERIE 700,2069.43,INTEGRAL
