EAB 8 R,ADHESIVO EN BARRA 8 G,451.4,INTEGRAL
EAB 8 T,ADHESIVO EN BARRA TRIANGULAR 8 G,462.45,INTEGRAL
ARN FL 2 T,ADHESIVO FLASH 2 G TIRA,579.1,INTEGRAL
ARN FL 2 B,ADHESIVO FLASH 2 G BLISTER,619.2,INTEGRAL
ARN FL 1X3 T,ADHESIVO FLASH 1 G X 3 UNIDADES TIRA,699.21,INTEGRAL
ECT 50,ADHESIVO ULTRA TRANSPARENTE,726.6,INTEGRAL
ARN FL 1X3 B,ADHESIVO FLASH 1 G X 3 UNIDADES BLISTER,738.89,INTEGRAL
ARN FL 3G T,ADHESIVO FLASH GEL 3 G TIRA,799.9,INTEGRAL
ARN FL 3G B,ADHESIVO FLASH GEL 3 G BLISTER,855.41,INTEGRAL
ESL 30,SILICONA LIQUIDA DE 30 ML,867.83,INTEGRAL
TPC BC,CIRCULAR - BLANCA - ESPESOR 5 MM,896.13,INTEGRAL
TPR BC,RECTANGULAR - BLANCA - DE 8.5 X 3CM / ESPESOR 5MM,964.56,INTEGRAL
PTT 30,PEGATODO TRANSPARENTE 30 CC,974.71,INTEGRAL
TPC SM,CIRCULAR - SIMIL MADERA - ESPESOR 5 MM,1026.86,INTEGRAL
EAB 25 T,ADHESIVO EN BARRA TRIANGULAR 25 G,1091.04,INTEGRAL
EAB 40 R,ADHESIVO EN BARRA 40 G,1168.63,INTEGRAL
TPR SM,RECTANGULAR - SIMIL MADERA - 8.5 X 3CM / ESPESOR 5MM,1214.66,INTEGRAL
PBD 25 T,PERBOND - SELLADOR MULTIUSO - BLANCO TIRA 25 ML,1228.75,INTEGRAL
GFX 25,GLUFIX - 100% SILICONA - TRANSPARENTE 25ML,1242.65,INTEGRAL
SLT N,BURL. AUTOADH. GOMA ESPUMA NORMAL 5X10X5,1267.0,INTEGRAL
PBD P 25 T,SELLADOR PERBOND PREMIUM TRANSPARENTE 25 CC.,1290.61,INTEGRAL
SBD 25 ST,AD. DE CONT. FORM. SIN TOLUENO 25ML TIRA,1296.3,INTEGRAL
SBD 25 BST,AD. DE CONT. FORM. SIN TOLUENO 25 ML BLISTER,1348.94,INTEGRAL
SBD TR 25 T,ADH. DE CONTACTO TRANSP. TIRA 25 ML,1386.32,INTEGRAL
GBU 310 N,SELLADOR BUTILICO NEGRO 310 ML,1397.08,INTEGRAL
SBD TR 25 B,ADH. DE CONTACTO TRANSP. BLISTER 25 ML,1441.51,INTEGRAL
SBD TR 25 E,ADH. DE CONTACTO TRANSP. ESTUCHE 25 ML,1441.51,INTEGRAL
GAS 25,SELLARROSCAS GAS TIRA 25 ML,1488.59,INTEGRAL
SBD U 60 CE,ADHESIVO UNO 60 ML EN CAJA EXHIBIDORA,1555.35,INTEGRAL
SLT D,BURL. AUTOADH. GOMA ESPUMA DOBLE 5X10X10,1600.88,INTEGRAL
SLT D M,BURL. AUTOADH. GOMA ESPUMA DOBLE 5X10X10 MARRON,1600.88,INTEGRAL
