NSS 10,90 SEGUNDOS - SOLDADURA INSTANTANEA,2830.08,INTEGRAL
AFX VA 2,ABROJO SUJETADOR AUTOADHESIVO 20 MM X 2 M,9923.05,INTEGRAL
AFX VB 2,ABROJO SUJETADOR BIFAZ 15 MM X 2 M,6221.94,INTEGRAL
GMX ACR 110 B,ACRILICO PINTABLE BLANCO POMO 110 ML,3765.02,INTEGRAL
SBD 1 ST,AD. DE CONT. FORM. SIN TOLUENO 1 KG,19586.74,INTEGRAL
SBD 125 ST,AD. DE CONT. FORM. SIN TOLUENO 125 ML. ,5322.52,INTEGRAL
SBD 25 BST,AD. DE CONT. FORM. SIN TOLUENO 25 ML BLISTER,2123.1,INTEGRAL
SBD 25 ST,AD. DE CONT. FORM. SIN TOLUENO 25ML TIRA,2040.28,INTEGRAL
SBD 4 ST,AD. DE CONT. FORM. SIN TOLUENO 4 KGS,62041.6,INTEGRAL
SBD 50 ST,AD. DE CONT. FORM. SIN TOLUENO 50 ML BLISTER,2763.97,INTEGRAL
SBD 1/2 ST,AD. DE CONT. FORM. SIN TOLUENO LAT 1/2 KG,10855.58,INTEGRAL
SBD 1/4 ST,AD. DE CONT. FORM. SIN TOLUENO LATA 1/4 KG,6743.24,INTEGRAL
SBD 50 ST E,ADH. DE CONTACTO SIN TOLUENO ESTUCHE 50 ML,3210.02,INTEGRAL
SBD TR 25 B,ADH. DE CONTACTO TRANSP. BLISTER 25 ML,2268.87,INTEGRAL
SBD TR 50 B,ADH. DE CONTACTO TRANSP. BLISTER 50 ML,3375.85,INTEGRAL
SBD TR 100 E,ADH. DE CONTACTO TRANSP. ESTUCHE 100 ML,5560.24,INTEGRAL
SBD TR 25 E,ADH. DE CONTACTO TRANSP. ESTUCHE 25 ML,2268.87,INTEGRAL
SBD TR 50 E,ADH. DE CONTACTO TRANSP. ESTUCHE 50 ML,3438.43,INTEGRAL
SBD TR 1,ADH. DE CONTACTO TRANSP. LATA 1 LT,19383.79,INTEGRAL
SBD TR 1/4,ADH. DE CONTACTO TRANSP. LATA 250 ML,7260.9,INTEGRAL
SBD TR 1/2,ADH. DE CONTACTO TRANSP. LATA 500 ML,11565.29,INTEGRAL
SBD TR 25 T,ADH. DE CONTACTO TRANSP. TIRA 25 ML,2180.17,INTEGRAL
SBD TR 50 B I,ADHESIVO DE CONTACTO TRANSPARENTE BLISTER 50 ML - C/ INSTANTANEO DE REGALO,3578.4,INTEGRAL
EAB 40 R,ADHESIVO EN BARRA 40 G,1900.14,INTEGRAL
EAB 8 R,ADHESIVO EN BARRA 8 G,733.93,INTEGRAL
EAB 25 T,ADHESIVO EN BARRA TRIANGULAR 25 G,1774.01,INTEGRAL
EAB 8 T,ADHESIVO EN BARRA TRIANGULAR 8 G,751.93,INTEGRAL
RTR ESP,"ADHESIVO ESPEJO RETROVISOR 0,4 ML ",4774.16,INTEGRAL
ARN FL 1X3 B,ADHESIVO FLASH 1 G X 3 UNIDADES BLISTER,1112.4,INTEGRAL
ARN FL 1X3 T,ADHESIVO FLASH 1 G X 3 UNIDADES TIRA,1052.69,INTEGRAL
ARN FL 2 B,ADHESIVO FLASH 2 G BLISTER,932.22,INTEGRAL
ARN FL 2 T,ADHESIVO FLASH 2 G TIRA,871.83,INTEGRAL
ARN FL 3G B,ADHESIVO FLASH GEL 3 G BLISTER,1287.83,INTEGRAL
ARN FL 3G T,ADHESIVO FLASH GEL 3 G TIRA,1204.25,INTEGRAL
MTJ 400,ADHESIVO PARA MONTAJES CARTUCHOS 400 GR,9984.31,INTEGRAL
MTJ 150,ADHESIVO PARA MONTAJES POMO 150 GR,4331.52,INTEGRAL
ZAP 10 B,ADHESIVO PARA ZAPATILLAS (BLISTER X 10 GRS),2596.17,INTEGRAL
ECT 50,ADHESIVO ULTRA TRANSPARENTE,1181.41,INTEGRAL
SBD U 60 CE,ADHESIVO UNO 60 ML EN CAJA EXHIBIDORA,2341.57,INTEGRAL
AFX CF 1 20,AFIX CLAVO FACIL 20 UNIDADES C/SUJETADOR ,0.0,INTEGRAL
ZNO B,AUTOADHESIVO - BLANCO - 92 CM.,4357.38,INTEGRAL
ZNO,AUTOADHESIVO - GRIS - 92 CM.,4357.38,INTEGRAL
ZNO SM,AUTOADHESIVO - SIMIL MADERA - 92 CM.,4357.38,INTEGRAL
AFX W 16,AUTOADHESIVO DOBLE FAZ EN PLACA,2506.3,INTEGRAL
AFX W R2,AUTOADHESIVO DOBLE FAZ EN ROLLO,4356.74,INTEGRAL
C HM HX 8K,BARRAS ADH. 7X10CMX8K,73046.05,INTEGRAL
C HM F10 UT 25,"BARRAS ADH.U.TRANSP 0,74X10CMX25 UNIDADES",3122.35,INTEGRAL
C HM F30 UT 14,"BARRAS ADH.U.TRANSP 0,74X30CMX14 BARRAS",4918.14,INTEGRAL
C HM F30 UT 41,"BARRAS ADH.U.TRANSP. 0,74X30CMX41 UNIDADES",13792.59,INTEGRAL
C HM G10 UT 10,"BARRAS ADH.U.TRANSP. 1,12 X10CMX 10 BARRAS",3122.35,INTEGRAL
C HM F30 UN 41,"BARRAS ADH.UNIV 0,74X30CMX41 UNIDADES",13792.59,INTEGRAL
C HM F10 UN 25,"BARRAS ADH.UNIV. 0,74X10CMX25 BARRAS",3122.35,INTEGRAL
C HM G30 UN 17,"BARRAS ADH.UNIV. 1,12X30CMX 17 BARRAS",13792.59,INTEGRAL
C HM HX GL 12,BARRAS ADHESIVAS GLITTER X 12 UNIDADES,2447.49,INTEGRAL
C HM G30 UT 17,"BARRAS ADHESIVAS ULTRA TRANSPARENTE 17 UNIDADES 1,12 X 30 CM",13792.59,INTEGRAL
SLT V,BURL. AUTOAD. VINILO BLANCO 5X5X10,2916.1,INTEGRAL
SLT V M,BURL. AUTOAD. VINILO MARRON 5X5X10,2916.1,INTEGRAL
SLT D,BURL. AUTOADH. GOMA ESPUMA DOBLE 5X10X10,2263.45,INTEGRAL
SLT D M,BURL. AUTOADH. GOMA ESPUMA DOBLE 5X10X10 MARRON,2263.45,INTEGRAL
SLT EA,BURL. AUTOADH. GOMA ESPUMA EXTRA ANCHO 5X20X10,3228.0,INTEGRAL
SLT EA M,BURL. AUTOADH. GOMA ESPUMA EXTRA ANCHO 5X20X10 MARRON,3228.0,INTEGRAL
SLT N,BURL. AUTOADH. GOMA ESPUMA NORMAL 5X10X5,1791.38,INTEGRAL
SLT V I,BURL. AUTOADH. VINILO BCO 5X5X10,3571.24,INTEGRAL
SLT V M I,BURL. AUTOADH. VINILO MARRON 5X5X10,3571.24,INTEGRAL
SLT D 5 M I,"BURL. GOMA AUTOADH.MARRON.PERF.D 5,2X9X6",4256.74,INTEGRAL
SLT P 5 M I,"BURL. GOMA AUTOADH.MARRON.PERF.P 5,2X9X6",4257.1,INTEGRAL
SLT D 5 B I,"BURL.DE GOMA AUTOADH.BCO.PERFIL D 5,2X9X6",4256.74,INTEGRAL
SLT E 5 B I,"BURL.DE GOMA AUTOADH.BCO.PERFIL E 5,2X9X4",4062.86,INTEGRAL
