NSS 10,90 SEGUNDOS - SOLDADURA INSTANTANEA,3424.41,INTEGRAL
AFX VA 2,ABROJO SUJETADOR AUTOADHESIVO 20 MM X 2 M,10915.36,INTEGRAL
AFX VB 2,ABROJO SUJETADOR BIFAZ 15 MM X 2 M,6844.13,INTEGRAL
GMX ACR 110 B,ACRILICO PINTABLE BLANCO POMO 110 ML,4141.54,INTEGRAL
SBD 1 ST,AD. DE CONT. FORM. SIN TOLUENO 1 KG,21545.4,INTEGRAL
SBD 125 ST,AD. DE CONT. FORM. SIN TOLUENO 125 ML. ,5854.75,INTEGRAL
SBD 25 BST,AD. DE CONT. FORM. SIN TOLUENO 25 ML BLISTER,2335.4,INTEGRAL
SBD 25 ST,AD. DE CONT. FORM. SIN TOLUENO 25ML TIRA,2244.33,INTEGRAL
SBD 4 ST,AD. DE CONT. FORM. SIN TOLUENO 4 KGS,68245.74,INTEGRAL
SBD 50 ST,AD. DE CONT. FORM. SIN TOLUENO 50 ML BLISTER,3496.44,INTEGRAL
SBD 1/2 ST,AD. DE CONT. FORM. SIN TOLUENO LAT 1/2 KG,11941.13,INTEGRAL
SBD 1/4 ST,AD. DE CONT. FORM. SIN TOLUENO LATA 1/4 KG,7417.57,INTEGRAL
SBD 50 ST E,ADH. DE CONTACTO SIN TOLUENO ESTUCHE 50 ML,3531.02,INTEGRAL
SBD TR 25 B,ADH. DE CONTACTO TRANSP. BLISTER 25 ML,2495.76,INTEGRAL
SBD TR 50 B,ADH. DE CONTACTO TRANSP. BLISTER 50 ML,3713.44,INTEGRAL
SBD TR 100 E,ADH. DE CONTACTO TRANSP. ESTUCHE 100 ML,6116.27,INTEGRAL
SBD TR 25 E,ADH. DE CONTACTO TRANSP. ESTUCHE 25 ML,2495.76,INTEGRAL
SBD TR 50 E,ADH. DE CONTACTO TRANSP. ESTUCHE 50 ML,3782.29,INTEGRAL
SBD TR 1,ADH. DE CONTACTO TRANSP. LATA 1 LT,21322.16,INTEGRAL
SBD TR 1/4,ADH. DE CONTACTO TRANSP. LATA 250 ML,7986.98,INTEGRAL
SBD TR 1/2,ADH. DE CONTACTO TRANSP. LATA 500 ML,12721.83,INTEGRAL
SBD TR 25 T,ADH. DE CONTACTO TRANSP. TIRA 25 ML,2400.13,INTEGRAL
SBD TR 50 B I,ADHESIVO DE CONTACTO TRANSPARENTE BLISTER 50 ML - C/ INSTANTANEO DE REGALO,3936.24,INTEGRAL
EAB 40 R,ADHESIVO EN BARRA 40 G,1900.16,INTEGRAL
EAB 8 R,ADHESIVO EN BARRA 8 G,733.94,INTEGRAL
EAB 25 T,ADHESIVO EN BARRA TRIANGULAR 25 G,1774.0,INTEGRAL
EAB 8 T,ADHESIVO EN BARRA TRIANGULAR 8 G,751.93,INTEGRAL
OF019,"ADHESIVO ESPEJO RETROVISOR 0,4 ML ",5527.75,INTEGRAL
RTR ESP,"ADHESIVO ESPEJO RETROVISOR 0,4 ML ",5251.57,INTEGRAL
ARN FL 1X3 B,ADHESIVO FLASH 1 G X 3 UNIDADES BLISTER,1223.65,INTEGRAL
ARN FL 1X3 T,ADHESIVO FLASH 1 G X 3 UNIDADES TIRA,1157.98,INTEGRAL
ARN FL 2 B,ADHESIVO FLASH 2 G BLISTER,1025.42,INTEGRAL
ARN FL 2 T,ADHESIVO FLASH 2 G TIRA,959.03,INTEGRAL
ARN FL 3G B,ADHESIVO FLASH GEL 3 G BLISTER,1416.63,INTEGRAL
ARN FL 3G T,ADHESIVO FLASH GEL 3 G TIRA,1324.67,INTEGRAL
MTJ 400,ADHESIVO PARA MONTAJES CARTUCHOS 400 GR,10982.73,INTEGRAL
MTJ 150,ADHESIVO PARA MONTAJES POMO 150 GR,4764.67,INTEGRAL
ZAP 10 B,ADHESIVO PARA ZAPATILLAS (BLISTER X 10 GRS),2803.88,INTEGRAL
OF017,ADHESIVO PARA ZAPATILLAS (BLISTER X 10 GRS) ,2561.35,INTEGRAL
ECT 50,ADHESIVO ULTRA TRANSPARENTE,1181.41,INTEGRAL
SBD U 60 CE,ADHESIVO UNO 60 ML EN CAJA EXHIBIDORA,2575.73,INTEGRAL
AFX CF 1 20,AFIX CLAVO FACIL 20 UNIDADES C/SUJETADOR ,4142.11,INTEGRAL
ZNO B,AUTOADHESIVO - BLANCO - 92 CM.,4357.38,INTEGRAL
ZNO,AUTOADHESIVO - GRIS - 92 CM.,4357.38,INTEGRAL
ZNO SM,AUTOADHESIVO - SIMIL MADERA - 92 CM.,4357.38,INTEGRAL
AFX W 16,AUTOADHESIVO DOBLE FAZ EN PLACA,2506.3,INTEGRAL
AFX W R2,AUTOADHESIVO DOBLE FAZ EN ROLLO,4356.74,INTEGRAL
C HM HX 8K,BARRAS ADH. 7X10CMX8K,80350.67,INTEGRAL
C HM F10 UT 25,"BARRAS ADH.U.TRANSP 0,74X10CMX25 UNIDADES",3122.35,INTEGRAL
C HM F30 UT 14,"BARRAS ADH.U.TRANSP 0,74X30CMX14 BARRAS",4918.14,INTEGRAL
C HM F30 UT 41,"BARRAS ADH.U.TRANSP. 0,74X30CMX41 UNIDADES",15171.84,INTEGRAL
C HM G10 UT 10,"BARRAS ADH.U.TRANSP. 1,12 X10CMX 10 BARRAS",3122.35,INTEGRAL
C HM F30 UN 41,"BARRAS ADH.UNIV 0,74X30CMX41 UNIDADES",15171.84,INTEGRAL
C HM F10 UN 25,"BARRAS ADH.UNIV. 0,74X10CMX25 BARRAS",3122.35,INTEGRAL
C HM G30 UN 17,"BARRAS ADH.UNIV. 1,12X30CMX 17 BARRAS",15171.84,INTEGRAL
C HM HX GL 12,BARRAS ADHESIVAS GLITTER X 12 UNIDADES,2447.49,INTEGRAL
C HM G30 UT 17,"BARRAS ADHESIVAS ULTRA TRANSPARENTE 17 UNIDADES 1,12 X 30 CM",15171.84,INTEGRAL
SLT V,BURL. AUTOAD. VINILO BLANCO 5X5X10,3149.38,INTEGRAL
SLT V M,BURL. AUTOAD. VINILO MARRON 5X5X10,3149.38,INTEGRAL
SLT D,BURL. AUTOADH. GOMA ESPUMA DOBLE 5X10X10,2444.53,INTEGRAL
SLT D M,BURL. AUTOADH. GOMA ESPUMA DOBLE 5X10X10 MARRON,2444.53,INTEGRAL
SLT EA,BURL. AUTOADH. GOMA ESPUMA EXTRA ANCHO 5X20X10,3486.25,INTEGRAL
