CAB,ABROCHADORA - ENGRAMPADORA 2 EN 1,17717.76,INTEGRAL
AFX VA 2,ABROJO SUJETADOR AUTOADHESIVO 20 MM X 2 M,10419.2,INTEGRAL
AFX VB 2,ABROJO SUJETADOR BIFAZ 15 MM X 2 M,6533.03,INTEGRAL
GMX ACR 110 B,ACRILICO PINTABLE BLANCO POMO 110 ML,4348.61,INTEGRAL
SBD 1 ST,AD. DE CONT. FORM. SIN TOLUENO 1 KG,22622.71,INTEGRAL
SBD 125 ST,AD. DE CONT. FORM. SIN TOLUENO 125 ML. ,6147.49,INTEGRAL
SBD 25 BST,AD. DE CONT. FORM. SIN TOLUENO 25 ML BLISTER,2452.17,INTEGRAL
SBD 25 ST,AD. DE CONT. FORM. SIN TOLUENO 25ML TIRA,2356.55,INTEGRAL
SBD 4 ST,AD. DE CONT. FORM. SIN TOLUENO 4 KGS,71658.04,INTEGRAL
SBD 50 ST,AD. DE CONT. FORM. SIN TOLUENO 50 ML BLISTER,3671.25,INTEGRAL
SBD 1/2 ST,AD. DE CONT. FORM. SIN TOLUENO LAT 1/2 KG,12538.22,INTEGRAL
SBD 1/4 ST,AD. DE CONT. FORM. SIN TOLUENO LATA 1/4 KG,7788.43,INTEGRAL
SBD 50 ST E,ADH. DE CONTACTO SIN TOLUENO ESTUCHE 50 ML,3707.57,INTEGRAL
SBD TR 25 B,ADH. DE CONTACTO TRANSP. BLISTER 25 ML,2620.55,INTEGRAL
SBD TR 50 B,ADH. DE CONTACTO TRANSP. BLISTER 50 ML,3899.12,INTEGRAL
SBD TR 100 E,ADH. DE CONTACTO TRANSP. ESTUCHE 100 ML,6422.07,INTEGRAL
SBD TR 25 E,ADH. DE CONTACTO TRANSP. ESTUCHE 25 ML,2620.55,INTEGRAL
SBD TR 50 E,ADH. DE CONTACTO TRANSP. ESTUCHE 50 ML,3971.39,INTEGRAL
SBD TR 1,ADH. DE CONTACTO TRANSP. LATA 1 LT,22388.29,INTEGRAL
SBD TR 1/4,ADH. DE CONTACTO TRANSP. LATA 250 ML,8386.34,INTEGRAL
SBD TR 1/2,ADH. DE CONTACTO TRANSP. LATA 500 ML,13357.95,INTEGRAL
SBD TR 25 T,ADH. DE CONTACTO TRANSP. TIRA 25 ML,2520.14,INTEGRAL
SBD TR 50 B I,ADHESIVO DE CONTACTO TRANSPARENTE BLISTER 50 ML - C/ INSTANTANEO DE REGALO,4133.05,INTEGRAL
EAB 40 R,ADHESIVO EN BARRA 40 G,1995.17,INTEGRAL
EAB 8 R,ADHESIVO EN BARRA 8 G,770.63,INTEGRAL
EAB 25 T,ADHESIVO EN BARRA TRIANGULAR 25 G,1862.69,INTEGRAL
EAB 8 T,ADHESIVO EN BARRA TRIANGULAR 8 G,789.53,INTEGRAL
RTR ESP,"ADHESIVO ESPEJO RETROVISOR 0,4 ML",5514.16,INTEGRAL
ARN FL 1X3 B,ADHESIVO FLASH 1 G X 3 UNIDADES BLISTER,1284.84,INTEGRAL
ARN FL 1X3 T,ADHESIVO FLASH 1 G X 3 UNIDADES TIRA,1215.87,INTEGRAL
ARN FL 2 B,ADHESIVO FLASH 2 G BLISTER,1076.7,INTEGRAL
ARN FL 2 T,ADHESIVO FLASH 2 G TIRA,1006.96,INTEGRAL
ARN FL 3G B,ADHESIVO FLASH GEL 3 G BLISTER,1487.47,INTEGRAL
ARN FL 3G T,ADHESIVO FLASH GEL 3 G TIRA,1390.9,INTEGRAL
MTJ 400,ADHESIVO PARA MONTAJES CARTUCHOS 400 GR,8648.9,INTEGRAL
MTJ 150,ADHESIVO PARA MONTAJES POMO 150 GR,3752.2,INTEGRAL
ZAP 10 B,ADHESIVO PARA ZAPATILLAS (BLISTER X 10 GRS),2944.06,INTEGRAL
ECT 50,ADHESIVO ULTRA TRANSPARENTE,1240.49,INTEGRAL
SBD U 60 CE,ADHESIVO UNO 60 ML EN CAJA EXHIBIDORA,2704.5,INTEGRAL
AFX CF 1 20,AFIX CLAVO FACIL 20 UNIDADES C/SUJETADOR,5150.89,INTEGRAL
AFX RUE 4 AL,AFIX RUEDA AUTOADHESIVA,6417.18,INTEGRAL
LLC 14,AJUSTABLE - TIPO STILSON,22083.99,INTEGRAL
PZA S6 EAL 4.5F,ALICATE  CORTE FRONTAL SERIE 600 4 1/2,4974.47,INTEGRAL
PZA EAL 4.5F,"ALICATE - ELECTRICISTA - CORTE FRONTAL - 4,5",4792.14,INTEGRAL
PZA EAL 4.5,"ALICATE - ELECTRICISTA - STANDARD - CORTE OBLICUO - 4,5",4792.14,INTEGRAL
PZA S6 AL6,ALICATE 6 SERIE 600,7463.21,INTEGRAL
PZA S6 AL7,ALICATE EXTRA 7 SERIE 600,9470.03,INTEGRAL
PZA S6 AL7 E,ALICATE EXTRA 7 SERIE 600,9883.3,INTEGRAL
PZA P AL6,ALICATE PROFESIONAL - SERIE 700,8182.32,INTEGRAL
PZA P AL7,ALICATE PROFESIONAL - SERIE 700,10889.29,INTEGRAL
PZA P8 AL6,ALICATE PROFESIONAL AISLADO - SERIE 800,9323.89,INTEGRAL
PZA P8 AL7,ALICATE PROFESIONAL AISLADO - SERIE 800,12180.53,INTEGRAL
PZA E AL6,ALICATE SERIE 200 ECONOMY 6,4515.92,INTEGRAL
PZA E AL7,ALICATE SERIE 200 ECONOMY 7,6218.22,INTEGRAL
PZA S6 EAL 4.5,ALLICATE SERIE 600 4 1/2,4586.26,INTEGRAL
SIE S2 M6,ARCO DE SIERRA MINI SERIE 200,7334.23,INTEGRAL
SIE S6 12,ARCO DE SIERRA PROFESIONAL SERIE 600,15331.03,INTEGRAL
SIE S8 12,ARCO DE SIERRA PROFESIONAL SERIE 800,19089.94,INTEGRAL
SIE S2 12,ARCO DE SIERRA SERIE 200,9582.25,INTEGRAL
ZNO B,AUTOADHESIVO - BLANCO - 92 CM.,4575.25,INTEGRAL
ZNO,AUTOADHESIVO - GRIS - 92 CM.,4575.25,INTEGRAL
ZNO SM,AUTOADHESIVO - SIMIL MADERA - 92 CM.,4575.25,INTEGRAL
AFX W 16,AUTOADHESIVO DOBLE FAZ EN PLACA,2631.6,INTEGRAL
AFX W R2,AUTOADHESIVO DOBLE FAZ EN ROLLO,4574.56,INTEGRAL
JD S6 AZ ES M,AZADA Y ESCARDILLO DE JARDIN SERIE 600,8389.88,INTEGRAL
JD S8 AZ ES T A,AZADA Y ESCARDILLO TELESCOPICO SERIE 800,23837.84,INTEGRAL
C HM HX 8K,BARRAS ADH. 7X10CMX8K,76698.36,INTEGRAL
C HM F10 UT 25,"BARRAS ADH.U.TRANSP 0,74X10CMX25 UNIDADES",2628.96,INTEGRAL
C HM F30 UT 14,"BARRAS ADH.U.TRANSP 0,74X30CMX14 BARRAS",4140.98,INTEGRAL
C HM F30 UT 41,"BARRAS ADH.U.TRANSP. 0,74X30CMX41 UNIDADES",11613.08,INTEGRAL
C HM G10 UT 10,"BARRAS ADH.U.TRANSP. 1,12 X10CMX 10 BARRAS",2628.96,INTEGRAL
C HM F30 UN 41,"BARRAS ADH.UNIV 0,74X30CMX41 UNIDADES",11613.08,INTEGRAL
C HM F10 UN 25,"BARRAS ADH.UNIV. 0,74X10CMX25 BARRAS",2628.96,INTEGRAL
C HM G30 UN 17,"BARRAS ADH.UNIV. 1,12X30CMX 17 BARRAS",11613.08,INTEGRAL
C HM HX GL 12,BARRAS ADHESIVAS GLITTER X 12 UNIDADES,2060.75,INTEGRAL
C HM G30 UT 17,"BARRAS ADHESIVAS ULTRA TRANSPARENTE 17 UNIDADES 1,12 X 30 CM",11613.08,INTEGRAL
JD S8 BH T A,BARRE HOJAS TELESCOPICO SERIE 800,22867.98,INTEGRAL
CAB R 1000 N,BROCHES - GRAMPAS S6,4873.8,INTEGRAL
CAB R 1000/8 N,BROCHES - GRAMPAS S8,6355.29,INTEGRAL
CDB BS 20,BRONCE STANDARD - 3 LLAVES,2789.56,INTEGRAL
CDB BS 30,BRONCE STANDARD - 3 LLAVES,4013.96,INTEGRAL
CDB BS 40,BRONCE STANDARD - 3 LLAVES,5016.91,INTEGRAL
SLT V,BURL. AUTOAD. VINILO BLANCO 5X5X10,3306.86,INTEGRAL
SLT D,BURL. AUTOADH. GOMA ESPUMA DOBLE 5X10X10,2566.75,INTEGRAL
SLT D M,BURL. AUTOADH. GOMA ESPUMA DOBLE 5X10X10 MARRON,2566.75,INTEGRAL
SLT EA,BURL. AUTOADH. GOMA ESPUMA EXTRA ANCHO 5X20X10,3660.55,INTEGRAL
SLT EA M,BURL. AUTOADH. GOMA ESPUMA EXTRA ANCHO 5X20X10 MARRON,3660.55,INTEGRAL
SLT N,BURL. AUTOADH. GOMA ESPUMA NORMAL 5X10X5,2031.43,INTEGRAL
SLT V I,BURL. AUTOADH. VINILO BCO 5X5X10,4049.79,INTEGRAL
SLT V M I,BURL. AUTOADH. VINILO MARRON 5X5X10,4049.79,INTEGRAL
SLT D 5 M I,"BURL. GOMA AUTOADH.MARRON.PERF.D 5,2X9X6",4827.15,INTEGRAL
