100 M,"PRECINTOS MINI 2,5 X 100",246.00,MASSOL
150 I,"PRECINTOS INTERMEDIOS 3,6 X 150",553.00,MASSOL
200 ST,"PRECINTOS STANDARD 4,8 X 200",1035.00,MASSOL
250 ST,"PRECINTOS STANDARD 4,8 X 250",1447.00,MASSOL
300 ST,"PRECINTOS STANDARD 4,8 X 300",1750.00,MASSOL
350 ST,"PRECINTOS STANDARD 4,8 X 350",2340.00,MASSOL
400 ST,"PRECINTOS STANDARD 4,8 X 400",2613.00,MASSOL
300 HD,"PRECINTOS REFORZADOS 7,5 X 300",2965.00,MASSOL
350 HD,"PRECINTOS REFORZADOS 7,5 X 350",3809.00,MASSOL
400 HD,"PRECINTOS REFORZADOS 7,5 X 400",4439.00,MASSOL
450 HD,"PRECINTOS REFORZADOS 7,5 X 450",2548.00,MASSOL
500 HD,"PRECINTOS REFORZADOS 7,5 X 500",3303.00,MASSOL
550 HD,"PRECINTOS REFORZADOS 7,5 X 550",3971.00,MASSOL
600 HD,"PRECINTOS REFORZADOS 7,5 X 600",4336.00,MASSOL
400 SR,"PRECINTOS SUPER REFORZADOS 9,5 X 400",2882.00,MASSOL
450 SR,"PRECINTOS SUPER REFORZADOS 9,5 X 450",3311.00,MASSOL
500 SR,"PRECINTOS SUPER REFORZADOS 9,5 X 500",4294.00,MASSOL
550 SR,"PRECINTOS SUPER REFORZADOS 9,5 X 550",5162.00,MASSOL
600 SR,"PRECINTOS SUPER REFORZADOS 9,5 X 600",5637.00,MASSOL
400 STG,"PRECINTOS STANDARD 4,8 X 400 - GRIS TAZA AUTO",2340.00,MASSOL
CR015,"SEPARADOR CRUZ 1,5 MM",409.00,MASSOL
CR020,SEPARADOR CRUZ 2 MM,409.00,MASSOL
CR025,"SEPARADOR CRUZ 2,5 MM",510.00,MASSOL
CR030,SEPARADOR CRUZ 3 MM,671.00,MASSOL
CR040,SEPARADOR CRUZ 4 MM,702.00,MASSOL
CR055,"SEPARADOR CRUZ 5,5 MM",524.00,MASSOL
CR085,"SEPARADOR CRUZ 8,5 MM",282.00,MASSOL
CN010,"CUÑA NIVELADORA 0,5 A 5 MM",448.00,MASSOL
CD010,CUÑA DENTADA 5 A 13 MM,1273.00,MASSOL
NS015,"ARCO NIVELADOR 1,5 MM",853.00,MASSOL
PNS,PINZA NIVELADORA,2630.00,MASSOL
BM6,TARUGO STANDARD Nº 6 - BOLSA X 2000,5622.00,MASSOL
BM8,TARUGO STANDARD Nº 8 BOLSA X 1000,5868.00,MASSOL
BM10,TARUGO STANDARD Nº 10 BOLSA X 500,5672.00,MASSOL
BM12,TARUGO STANDARD Nº 12 BOLSA X 250,5855.00,MASSOL
CA6,TARUGO CON ARANDELA Nº 6 CAJA X 100,492.00,MASSOL
CA8,TARUGO CON ARANDELA Nº 8 CAJA X 50,859.00,MASSOL
CA10,TARUGO CON ARANDELA Nº 10 CAJA X 25,848.00,MASSOL
BMA6,TARUGO CON ARANDELA Nº 6 BOLSA X 2000,7201.00,MASSOL
BMA8,TARUGO CON ARANDELA Nº 8 BOLSA X 1000,7317.00,MASSOL
BMA10,TARUGO CON ARANDELA Nº 10 BOLSA X 500,6684.00,MASSOL
BMA12,TARUGO CON ARANDELA Nº 12 BOLSA X 250,7401.00,MASSOL
TC6,TARUGO 3 CORTES Nº 6 CAJA X 100,1192.00,MASSOL
TC8,TARUGO 3 CORTES Nº 8 CAJA X 50,1034.00,MASSOL
TC10,TARUGO 3 CORTES Nº 10 CAJA X 25,923.00,MASSOL
TC6G,TARUGO 3 CORTES Nº 6 BOLSA X 1000,10711.00,MASSOL
TC8G,TARUGO 3 CORTES Nº 8 BOLSA X 1000,18599.00,MASSOL
TC10G,TARUGO 3 CORTES Nº 10 BOLSA X 500,16608.00,MASSOL
TC12G,TARUGO 3 CORTES Nº 12 BOLSA X 250,14306.00,MASSOL
HD10G,TARUGO DURLOCK Nº 10 BOLSA X,16898.00,MASSOL
BMDUR,TARUGO DURLOCK,29802.00,MASSOL
7010,BARRE HOJAS CHICO,431.00,MASSOL
7020,BARRE HOJAS GRANDE,1027.00,MASSOL
